Timestamp,Side,Thought entry price,Actual entry price,Spread,Velocity,OrderID,Size,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8
1764679254.9416554,UP,0.29,0.34,0.02,4133.4,0xef6c79904670b3510e7ce5bcfa915491ba85bf383168580178bf92d182b76cd1,3.18,0.35,0.36,0.36,0.36,0.36,0.35,0.35,0.34
1764679324.0231462,DOWN,0.83,0.88,0.01,-980.5,0x3f4a741058f94c0a08bc71ca1db9dd54762b8833f03fef6ebb8732cd48f7a8a7,1.23,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89
1764679318.1848066,UP,0.17,0.21,0.01,780.2,0x567f0f9efc47a59c979dc4df6629dda59f78da681b11e89521259297d608d306,5.14,0.17,0.2,0.2,0.2,0.2,0.2,0.2,0.22
1764679312.505176,UP,0.11,0.13,0.02,600.3,0xfe47dbede4b946e67c2eb77a746ac46585c9ba6c8b94affa9ac93b57849f7f7a,8.31,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
1764679304.3390932,DOWN,0.87,0.89,0.01,-1093.2,0xec8213aa231b6b8edfbb3d3d3c2180bf34c557b10f3adbb3cd83c0ac4d360320,1.21,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92
1764679298.4342535,DOWN,0.85,0.87,0.01,-682.9,0xee33829e0ccc78dbbfaa01c19855db8313754a86cebfb7e4fc034fac25abc3a8,1.24,0.87,0.85,0.85,0.85,0.87,0.87,0.87,0.87
1764679293.2727983,DOWN,0.81,0.83,0.02,-926.4,0x88fdbc54337e9326f7556067b4ec39ccbadc9b0470a33b0ff229ad41ce755432,1.3,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
1764679508.7323534,UP,0.5,0.51,0.01,2993.3,0x4ffd44fcd2c4505adfd4b3caa2bd1a1e12536cce9eef08c727a556ce3aa8eb85,2.65,0.51,0.52,0.52,0.52,0.55,0.55,0.56,0.56
1764679569.89057,DOWN,0.54,0.55,0.01,-1541.2,0xee8f49e1cd09c468165cdfa8163b4395b00aed3da07d9bea6fa7556a34554f94,2.29,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1764679557.0128722,DOWN,0.52,0.52,0.01,-1541.9,0x456363792249a7b99f77f284ca177183cabf8e29b88a4ce9dd6e45a7d6e99883,2.6,0.52,0.54,0.54,0.54,0.54,0.54,0.54,0.54
1764679543.1940992,DOWN,0.52,0.52,0.02,-964.7,0x7691f7b78e523accf187f3b0ab9a71ed9c602446cf1cf82dda93a9627e9b77b3,2.6,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1764679528.9682353,DOWN,0.47,0.48,0.02,-721.8,0x2b590ed3160077df42378ba6cebe3ca881e845cab95c0e11a4a44ef0b676cd1d,2.81,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
1764679518.4247348,DOWN,0.45,0.46,0.01,-1705.0,0x67541b36477e3593694ac457492756516e3555bfe140feab9eccd0be02135185,2.93,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1764679577.7586944,UP,0.48,0.48,0.01,626.4,0xcc60d46c9933196608c0c12e1d9e70a1805d4ee947389e50f85c9a1fab92fdbf,2.81,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49
1764679656.7991688,DOWN,0.53,0.57,0.01,-1030.0,0xa1979b1e7bda9dcccaa5f423f8ce1ce0a920b6ba2092ac09eb952b7629fbadb2,2.21,0.59,0.59,0.59,0.59,0.6,0.6,0.59,0.59
1764679644.4323394,UP,0.46,0.47,0.01,2196.1,0xbd429274d73029643c938c952e38372d1a5c68f28c0d84a139bd285e6db68fb2,2.87,0.47,0.48,0.48,0.49,0.48,0.48,0.48,0.48
1764679619.0582693,DOWN,0.5,0.51,0.01,-1946.0,0xe8eccaa33d652b0342fff8cb2f87e2c9b260b1622124567f15eae3f9f8472e5d,2.65,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1764679612.6967967,DOWN,0.4,0.45,0.01,-1176.6,0x2b7ef33ec57caa8e0875e5237d279aa80de309339a2e0988802960b194f4d162,2.6,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48
1764679725.9947057,DOWN,0.59,0.6,0.01,-1959.2,0x7fed2d6d6e2b7827dd0b6e51291bcfbef1d3511cdba3cf0d17d451a72797c342,1.8,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61
1764679716.7398505,DOWN,0.57,0.58,0.02,-4487.0,0x2c19ca472dc8f738e24e937e4ede3c239ceb9a753124d7e2e2f89b6808d05b42,2.02,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59
1764679710.94254,UP,0.44,0.45,0.01,2161.8,0x586196326b45c97c11d765adb3e052ecf5bf2935f896f55a103359e955be2a48,2.6,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44
1764679705.2999365,UP,0.4,0.41,0.01,1874.6,0xb5843ccca32842d7cb22432339b1c564befd10fa2c0794431383edd662765ef7,2.63,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42
1764679699.926079,DOWN,0.66,0.67,0.01,-1036.1,0x802d2130c8ce1c695a0e1eb50c8c4d4192f6670d70c4c18782eb004c5e7fc6aa,1.61,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
1764679685.6313753,UP,0.38,0.39,0.01,1277.9,0x804a6743c82b3de28c9cf4edc5eee62f45c34741f009fcfc8dff152fe07dcc6c,2.77,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1764679679.8710544,DOWN,0.57,0.6,0.01,-1082.4,0x37c2037936e98220be4b0c798fec38b1235b4acbd52728829aee36e3e96b05f6,1.95,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61
1764679674.2333767,UP,0.43,0.44,0.01,1236.1,0x7817b127884a7e2e69d04499a72e3ee1561da3d89ef0562b3bd9505d2585a40a,2.66,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
1764679781.6897275,DOWN,0.64,0.65,0.01,-5975.9,0xab55f8fe652b6fc7b74c695d9854ddcc11b30305e40719b12005c299202b04c9,1.66,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.66
1764679767.9505613,DOWN,0.59,0.61,0.01,-5212.2,0x155e4a66ab1d34f50d626b487d212c2e8d89760207995274caff159fa22011ce,1.77,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61
1764679757.2041142,UP,0.43,0.44,0.01,1172.0,0x8fa6c3f70b50adb21aff2ed2e53a076b01ab6e9bcc3f668727866e40c6495d04,2.66,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43
1764679747.136021,DOWN,0.59,0.61,0.02,-7618.5,0x796bbf0048753d4bc09963765e6bd48824b7c3aa3cc5756fb08fce99c6d94efc,1.77,0.61,0.61,0.61,0.59,0.59,0.6,0.6,0.61
1764679731.4058306,UP,0.42,0.43,0.02,1642.8,0x5d2a030b2f9845e8aad66079d2fefda0d8e363894c7a797cce95d891b2d3232b,2.72,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45
1764679831.607462,UP,0.52,0.53,0.01,2748.2,0x088cf934166803aa2894e145f2afd829dd0d117d6b5d608f1afa03d740e52ef0,2.55,0.55,0.55,0.53,0.53,0.52,0.52,0.52,0.52
1764679815.210746,UP,0.45,0.47,0.01,1851.3,0xd52138e4792092705e69f718d4676f90913f9e0d65f3e198db59725bd81cde6c,2.68,0.47,0.49,0.49,0.5,0.5,0.5,0.5,0.5
1764679803.2082927,UP,0.37,0.39,0.02,1173.8,0xfbafc19130cd54574a3d60cbf6b65a6ec62f1f1caaf234abe764f03eb0de1e6d,2.77,0.41,0.44,0.45,0.45,0.45,0.45,0.45,0.45
